time,phase,left_hip_yaw,left_hip_roll,left_hip_pitch,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_yaw,right_hip_roll,right_hip_pitch,right_knee,right_ankle_pitch,right_ankle_roll
0.02,0.034,0.007008100261454551,0.13913913241202544,-0.560295360961637,0.853533882370666,-0.3437268619880831,-0.13931437214498243,-0.007008100261454551,-0.13913913241202544,-0.4493180709430439,0.853533882370666,-0.45470415200667624,0.13931437214498243
0.04,0.068,0.006245639991740437,0.12416582287353736,-0.558344482961797,0.8639469241859854,-0.35599068892859265,-0.12432199691819334,-0.00800951098199308,-0.15870888322427837,-0.5256813062610506,0.9685072892518383,-0.49346291414590593,0.15890916379549921
0.06,0.10200000000000001,0.005483172460112699,0.1091361286698674,-0.5556501228142169,0.873032894843762,-0.3676822762187898,-0.10927323689000297,-0.009116126973605317,-0.1801921566763326,-0.6044908869969633,1.0848824546224933,-0.5312151301327764,0.18042010892003005
0.08,0.136,0.0047206985530105,0.09405658264523731,-0.5522340268080238,0.8808228572083552,-0.3788110010112855,-0.09417462492125947,-0.010321774843409046,-0.2034072659199397,-0.6803930930848264,1.1928681005311745,-0.5635284131893273,0.20366536635376475
0.1,0.17,0.003958219156917472,0.07893385183529888,-0.5481151721224318,0.8873422790914232,-0.38938340707630315,-0.07903282806424636,-0.011604439599287293,-0.22786282782461403,-0.7493151240389105,1.2856545314362393,-0.5876672826652288,0.22815300252378798
0.12000000000000001,0.20400000000000001,0.0031957351583555417,0.06377472060684095,-0.5433100913061975,0.8926116827892034,-0.39940352968079496,-0.06385463070238342,-0.012920116152052567,-0.2526623291416087,-0.8075493056862497,1.3578255865371194,-0.6019172555590466,0.25298540384593377
0.14,0.23800000000000002,0.0024332474438787505,0.048586073011041675,-0.5378331170279202,0.8966471467759742,-0.408873152377081,-0.04864691690347343,-0.014198328810560174,-0.2764552535896499,-0.8512445547125221,1.4044331775270131,-0.6051638526549289,0.2768102917387463
0.16,0.272,0.0016707569000670556,0.0333748744607728,-0.531696560924224,0.8994606853572491,-0.41779200767867286,-0.03341665209701849,-0.015343209469232386,-0.29749749398122105,-0.87613762716146,1.4203186249947175,-0.5964803081789722,0.29788116167253825
0.18,0.30600000000000005,0.0018950190660870683,0.03785068347587932,-0.5237047380002949,0.8987594618203936,-0.4250905919966391,-0.0378980688390637,-0.015026745693073296,-0.29170734959953243,-0.8870041166394766,1.4164624153072165,-0.5816657203880782,0.29208310359186995
0.19999999999999998,0.3400000000000001,0.0026575088697752456,0.05305597649936045,-0.5144218270161062,0.8955875526795083,-0.43123624061096555,-0.05312242810484066,-0.013831513448533185,-0.2696588520745294,-0.8798633395658249,1.3871390735004583,-0.5591520417256697,0.27000471747844074
0.21999999999999997,0.3740000000000001,0.003419995583367381,0.06823666257672958,-0.5045092231252224,0.8911905882784241,-0.43679809510621026,-0.06832218036654725,-0.012533359537819679,-0.24540375622509614,-0.8528169928010414,1.3295581565592527,-0.5282868151156288,0.24571715960780902
